Wall time,Step,Value
1648546987.4245987,1000,2.2863950729370117
1648546991.461877,2000,2.0162174701690674
1648546995.326766,3000,1.7801768779754639
1648546999.1472435,4000,1.6718040704727173
1648547003.083904,5000,1.6158558130264282
1648547007.235967,6000,1.5437432527542114
1648547015.8693368,7250,1.4855552911758423
1648547020.0259748,8250,1.4348009824752808
1648547024.1503465,9250,1.406969428062439
1648547028.3270843,10250,1.3719531297683716
1648547032.499489,11250,1.3427581787109375
1648547036.6919408,12250,1.3100273609161377
1648547044.8918815,13500,1.2537280321121216
1648547049.0611844,14500,1.244242548942566
1648547053.5242193,15500,1.2404314279556274
1648547057.5384426,16500,1.2071877717971802
1648547061.5273743,17500,1.1849581003189087
1648547065.4345746,18500,1.1884983777999878
1648547073.0613608,19750,1.122859001159668
1648547077.0069528,20750,1.1276835203170776
1648547080.952092,21750,1.1273982524871826
1648547084.9256856,22750,1.1107369661331177
1648547088.8682747,23750,1.084995985031128
1648547092.8152158,24750,1.0913931131362915
