Wall time,Step,Value
1648546615.4561775,1000,1.9297384023666382
1648546619.6159637,2000,1.6796175241470337
1648546624.0155284,3000,1.5560678243637085
1648546628.3172314,4000,1.4896950721740723
1648546632.4892855,5000,1.454355001449585
1648546636.9398327,6000,1.4043419361114502
1648546645.3024912,7250,1.3295462131500244
1648546649.1849217,8250,1.3048653602600098
1648546653.0472972,9250,1.298024296760559
1648546656.9065988,10250,1.2900274991989136
1648546660.7691789,11250,1.2509537935256958
1648546665.0902274,12250,1.264817476272583
1648546673.6389284,13500,1.174188494682312
1648546677.9838836,14500,1.184548020362854
1648546682.0344217,15500,1.178512454032898
1648546685.8694816,16500,1.194315791130066
1648546689.6774306,17500,1.1544957160949707
1648546693.7537038,18500,1.1586185693740845
1648546701.649021,19750,1.081529974937439
1648546706.239303,20750,1.0976375341415405
1648546710.179566,21750,1.084580898284912
1648546714.563854,22750,1.1050055027008057
1648546718.892484,23750,1.1056362390518188
1648546723.141845,24750,1.0958179235458374
