Wall time,Step,Value
1648548050.9501896,1000,2.3031821250915527
1648548055.544039,2000,2.299046754837036
1648548060.1496599,3000,2.2943897247314453
1648548064.6665838,4000,2.2812654972076416
1648548069.224903,5000,2.250180721282959
1648548073.7799616,6000,2.1819674968719482
1648548082.9133258,7250,2.0819077491760254
1648548087.4043307,8250,2.022409439086914
1648548091.830205,9250,1.9802639484405518
1648548096.5457385,10250,1.927573323249817
1648548101.2235625,11250,1.8951534032821655
1648548105.8917024,12250,1.842898964881897
1648548114.6295738,13500,1.823330283164978
1648548119.2172275,14500,1.7869828939437866
1648548123.8662195,15500,1.760048747062683
1648548128.5704193,16500,1.7108327150344849
1648548133.2315361,17500,1.7239512205123901
1648548137.905628,18500,1.6644244194030762
1648548146.3182907,19750,1.636573314666748
1648548150.9376078,20750,1.6188817024230957
1648548155.6068656,21750,1.6086994409561157
1648548160.2600093,22750,1.5728224515914917
1648548164.9181106,23750,1.5857949256896973
1648548169.6513631,24750,1.5666019916534424
