Wall time,Step,Value
1648547758.6334343,1000,2.2448976039886475
1648547763.2107904,2000,2.0469777584075928
1648547767.9290125,3000,1.924700379371643
1648547772.571238,4000,1.8122597932815552
1648547777.2048237,5000,1.725934386253357
1648547781.761971,6000,1.6611456871032715
1648547790.4462812,7250,1.6266162395477295
1648547794.992934,8250,1.5751599073410034
1648547799.5417671,9250,1.5450845956802368
1648547804.1250787,10250,1.5361179113388062
1648547808.966418,11250,1.5021352767944336
1648547813.591569,12250,1.4778226613998413
1648547822.2174954,13500,1.4599370956420898
1648547826.8217845,14500,1.449733853340149
1648547831.4490285,15500,1.4180922508239746
1648547836.0962594,16500,1.4228519201278687
1648547840.7355828,17500,1.4085665941238403
1648547845.4018304,18500,1.3786836862564087
1648547853.9129524,19750,1.3648991584777832
1648547858.5901597,20750,1.3675085306167603
1648547863.1403024,21750,1.340120792388916
1648547867.6575396,22750,1.3377383947372437
1648547872.1679895,23750,1.3341628313064575
1648547876.6429644,24750,1.3073029518127441
