Wall time,Step,Value
1648546789.5795486,1000,2.2613937854766846
1648546793.7219527,2000,1.9164917469024658
1648546797.808356,3000,1.67897367477417
1648546801.9321094,4000,1.5631638765335083
1648546806.0879521,5000,1.4877578020095825
1648546810.2064872,6000,1.434267520904541
1648546818.524374,7250,1.385627269744873
1648546822.696182,8250,1.3461592197418213
1648546826.893357,9250,1.3039120435714722
1648546831.0746324,10250,1.3033654689788818
1648546835.2591734,11250,1.2981507778167725
1648546839.37592,12250,1.2135132551193237
1648546847.6043692,13500,1.1868995428085327
1648546851.7575023,14500,1.184694766998291
1648546855.925701,15500,1.1762540340423584
1648546860.1082847,16500,1.1507331132888794
1648546864.2784598,17500,1.1518571376800537
1648546868.4387987,18500,1.1489858627319336
1648546876.4416866,19750,1.0478354692459106
1648546880.632786,20750,1.091536283493042
1648546884.83461,21750,1.0747731924057007
1648546889.00251,22750,1.0770121812820435
1648546893.3384526,23750,1.0578594207763672
1648546897.5715885,24750,1.0577116012573242
