Wall time,Step,Value
1648547219.2298965,1000,2.30264949798584
1648547223.8137703,2000,2.302522659301758
1648547228.4842227,3000,2.3020291328430176
1648547233.1510663,4000,2.3017048835754395
1648547237.7810256,5000,2.299832344055176
1648547242.4118953,6000,2.2893640995025635
1648547251.2201185,7250,2.2099266052246094
1648547255.9257245,8250,2.088102102279663
1648547260.6488886,9250,1.9640260934829712
1648547265.327182,10250,1.8801151514053345
1648547270.0194123,11250,1.7527154684066772
1648547274.6352274,12250,1.7020326852798462
1648547283.388345,13500,1.6477266550064087
1648547288.1216543,14500,1.6322593688964844
1648547292.8600504,15500,1.5929197072982788
1648547297.5903556,16500,1.57985258102417
1648547302.502718,17500,1.536627173423767
1648547307.0828867,18500,1.5349855422973633
1648547315.3735662,19750,1.4927273988723755
1648547319.8396475,20750,1.4770476818084717
1648547324.2861605,21750,1.428936243057251
1648547328.8202012,22750,1.4015564918518066
1648547333.2664955,23750,1.396715760231018
1648547337.728837,24750,1.3647404909133911
